"","cor w cell mixing","residual SD from cell mixing"
"IGFBP3",0.66518661405042,0.815068376792451
"TGFB1",0.841759998627347,0.321978565640853
"RB1",0.951154024734825,0.223585693360914
"RAB7A",0.844412045497772,0.274739677902173
"BBS1",0.86702600537199,0.235073038817783
"ISG15",0.60036820831491,0.511561910075271
"CAMP",0.765957310030092,0.325042907755622
"NAT1",0.877176096975975,0.274699528131953
"ELK1",0.872018393758565,0.247266721390972
"RBL2",0.97749546491676,0.154456591573719
"F2RL1",0.658563821732282,0.429016223129565
"SLAMF7",0.990914934161556,0.30602881808546
"IL18R1",0.933844606098093,0.252473016180918
"TNFRSF13C",0.99739549036516,0.297673904564466
"PTCD2",0.859749050352006,0.280235996160776
"FGF1",0.858480178269245,0.288939067590666
"CDC25C",0.767215307154572,0.306943585359354
"IL32",0.787208393238048,0.465712223679116
"CDC14A",0.89615607687234,0.225665219374091
"HDAC3",0.842082308115703,0.263705371512583
"CACNB3",0.720418180541775,0.281257547035212
"ERO1A",0.328708371276736,0.657553967002963
"SELE",0.902173641656638,0.294936862497152
"NUF2",0.862481525225359,0.245899871929509
"SF3B1",0.934872734639945,0.220526040298092
"WNT6",0.873094955709801,0.293799285826484
"HLA-A",0.981616360751789,0.308408813408
"SH2D1B",0.880884966450539,0.281615402489585
"PDGFB",0.807520286374397,0.361542157142166
"SAA1",0.809385753305209,0.308033767181433
"OTOA",0.821478135200419,0.312297444154069
"AXIN2",0.831882271615655,0.282369939766311
"APOC3",0.855439843744183,0.246300277316555
"NPM1",0.754612985616227,0.302615330404477
"LILRA4",0.937278755133991,0.361727939153664
"APH1B",0.856663784750025,0.237804283301123
"HLA-B",0.996989760832928,0.365460559726982
"PYCR3",0.840760844714708,0.296917929181617
"STK11",0.849221970848364,0.24036266059688
"ADH4",0.819162558629579,0.317208975348277
"STMN1",0.782756596480613,0.452685036846501
"PBX3",0.778417994582944,0.28483467797227
"GRB7",0.800483146270768,0.30055258710769
"IL12RB2",0.79166927039535,0.329483473349255
"ETV1",0.826498460412696,0.303470604211128
"IRGM",0.894868211976989,0.263174715057238
"KRT1",0.815878076779353,0.285973270526564
"KLRG1",0.960021412690989,0.21873237820022
"IKBKG",0.816362748847564,0.320882265264352
"MCL1",0.901854701580845,0.30671523094598
"ATP2A2",0.827250600468554,0.28464425525367
"RASA4",0.9385320313336,0.259159699037709
"CXCL11",0.833754416800642,0.300334500185029
"HDAC10",0.903295793140104,0.222188705617691
"IL1RL2",0.83713544854893,0.272337489777206
"PRLR",0.818059091751793,0.328065366381225
"MCM5",0.911980168306952,0.418042235784965
"DTX1",0.937183300727137,0.312429091800609
"SOX9",0.713717969950419,0.38541081679345
"TSPAN7",0.961605699817781,0.257481314241153
"CASP8",0.979849471499038,0.230998987517924
"STAT2",0.909689865523752,0.215808247695212
"MS4A4A",0.910769329697582,0.263547446815959
"TBX21",0.879368666400855,0.272795397489792
"FOLH1B",0.798871504545808,0.288365253265353
"TNFRSF9",0.873948253403656,0.315849880309347
"SRSF2",0.800608773364105,0.306386375291341
"TNKS",0.907901464849944,0.233762563901094
"FOXP3",0.88017502902739,0.330471936677186
"BLM",0.874634695515,0.267900046770386
"GIMAP4",0.988934575184767,0.254548299158422
"MPL",0.822292631147322,0.286770493112636
"NDUFS8",0.813642247261568,0.427397982042502
"TCF7L1",0.884924823943843,0.261372480474724
"CLU",0.985321256514774,0.322152998290821
"IL18RAP",0.895417425888257,0.291312395842547
"SOX17",0.88410229401618,0.28318170255755
"SBNO2",0.925772703942903,0.228122393452784
"TNFSF9",0.805422809597408,0.323032299411788
"RASAL1",0.839948914104274,0.300427687053861
"RAC3",0.925848445800383,0.217922092968146
"BCOR",0.904218543982669,0.234717090246825
"IL13",0.818533446994378,0.302475463025229
"RYBP",0.869991849509336,0.260127148629031
"IL17F",0.812409106211795,0.332775065295218
"STAT5B",0.975612575998274,0.233810657012097
"ABL1",0.740815893810486,0.331338750449415
"PIM1",0.862243549377491,0.306171054710559
"TRIM21",0.890239732592712,0.22753222589181
"ANGPTL4",0.0309049510539114,1.34435993254557
"CCL1",0.866755893514946,0.283862514837865
"ADH1A",0.961303818819047,0.274054519542905
"CXCR3",0.853194912463058,0.292342190986004
"IHH",0.842240270660715,0.303261528123594
"WIF1",0.811796871608498,0.308118332190406
"PBRM1",0.802999196158765,0.317553996155913
"DEPTOR",0.846162451091453,0.279250982858068
"IFIT3",0.689297849097976,0.406656840569418
"ESR2",0.833155331649272,0.262728441339372
"ATG7",0.891009039604996,0.284749981031498
"DDIT4",0.528389427059503,0.757218845456237
"SPRY2",0.63831211250917,0.380203673763779
"CD8B",0.955250272434284,0.225455359740468
"RET",0.874997212001164,0.272208828217814
"HLA-DQB1",0.996808072891495,0.195884758511928
"OAS1",0.845381484727904,0.309793292834843
"FN1",0.616178834459183,0.931458333001935
"FGF7",0.969415347303787,0.234434528704096
"DNAJC14",0.860268178240101,0.2422498198656
"POLR1B",0.859519779109574,0.259787924581265
"PTTG1",0.808434144537936,0.287068335437728
"SERPINA1",0.958647843788388,0.295843830022646
"FGFR2",0.890818573370516,0.280306770340953
"NDUFA2",0.852878574771339,0.255596457738305
"EFNA3",0.85355896210113,0.252357192327739
"ACTR3B",0.797184617072523,0.267666594420762
"GRIN2B",0.861742910860419,0.287953892486181
"BLNK",0.992265673485436,0.24847868810185
"FCAR",0.810971420316192,0.324589872772476
"FCER1G",0.980781979436384,0.215981021311579
"MAP2K4",0.892135720970365,0.234768398055952
"C5AR1",0.863428786092232,0.295341185335815
"NEIL1",0.930971562551644,0.277993781919971
"TP53",0.752093102359984,0.384118939798356
"PC",0.858589685030439,0.257269082935739
"COX4I1",0.794745395947001,0.287625274899428
"PMEL",0.844186164638101,0.307375598744299
"SREBF1",0.879752056259949,0.231532086538643
"CD1A",0.8848226608528,0.281531618379521
"CCR3",0.816450974891646,0.300785600804924
"IL33",0.985200412447488,0.230337030025621
"RSAD2",0.887750259195636,0.243980600489496
"TNFSF10",0.926886013956529,0.264686750279678
